,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.5_temp_0.5,1.5,0.5,42,0,4.257001,4.257561,1,1.247625911,0.6313543,0.142287591,0.274711708
1,alpha_1.5_temp_0.5,1.5,0.5,42,100,2.4420507,2.4592135,1,1.633214329,0.862242919,0.392715813,0.508778571
2,alpha_1.5_temp_0.5,1.5,0.5,42,200,2.2167666,2.2545037,1,1.631005728,0.869869482,0.367281759,0.482698177
3,alpha_1.5_temp_0.5,1.5,0.5,42,300,1.959537,2.0479724,1,1.653267192,0.879892084,0.38391277,0.472804499
4,alpha_1.5_temp_0.5,1.5,0.5,42,400,1.7588326,1.8992822,1,1.676233969,0.876067411,0.389076682,0.472777417
5,alpha_1.5_temp_0.5,1.5,0.5,42,500,1.6272129,1.8047656,1,1.659690308,0.875269956,0.386703967,0.472758005
6,alpha_1.5_temp_0.5,1.5,0.5,42,600,1.539343,1.7232368,1,1.687550973,0.868268476,0.393401971,0.471536897
7,alpha_1.5_temp_0.5,1.5,0.5,42,700,1.4738375,1.6661423,1,1.696771343,0.863624277,0.399983983,0.474225049
8,alpha_1.5_temp_0.5,1.5,0.5,42,800,1.4261009,1.6278346,1,1.686736458,0.861119563,0.398218364,0.467485162
9,alpha_1.5_temp_0.5,1.5,0.5,42,900,1.3898457,1.6027888,1,1.689700083,0.860119473,0.388776407,0.466595456
10,alpha_1.5_temp_0.5,1.5,0.5,42,1000,1.3632756,1.5753531,1,1.701775271,0.858125798,0.392665159,0.462454308
11,alpha_1.5_temp_0.5,1.5,0.5,42,1100,1.3327563,1.5567558,1,1.699333916,0.857880606,0.389985654,0.462074998
12,alpha_1.5_temp_0.5,1.5,0.5,42,1200,1.308217,1.5333267,1,1.695583102,0.854468334,0.391910692,0.464554326
13,alpha_1.5_temp_0.5,1.5,0.5,42,1300,1.2874765,1.5269557,1,1.697229809,0.853369241,0.386526737,0.459179994
14,alpha_1.5_temp_0.5,1.5,0.5,42,1400,1.2717024,1.5110481,1,1.698404771,0.852749178,0.392521305,0.46434854
15,alpha_1.5_temp_0.5,1.5,0.5,42,1500,1.2546959,1.5038805,1,1.680227709,0.853107673,0.385550963,0.458696865
16,alpha_1.5_temp_0.5,1.5,0.5,42,1600,1.2391241,1.5014031,1,1.703472307,0.853000708,0.39216999,0.459065989
17,alpha_1.5_temp_0.5,1.5,0.5,42,1700,1.2270476,1.498762,1,1.685909837,0.851636738,0.390288714,0.454114187
18,alpha_1.5_temp_0.5,1.5,0.5,42,1800,1.2121897,1.4915484,1,1.697188531,0.850792144,0.392936122,0.458909572
19,alpha_1.5_temp_0.5,1.5,0.5,42,1900,1.201423,1.4934545,1,1.707530418,0.850489595,0.393529126,0.454399761
20,alpha_1.5_temp_0.5,1.5,0.5,42,2000,1.1877788,1.4918076,1,1.714338179,0.848964594,0.395130608,0.460695641
21,alpha_1.5_temp_0.5,1.5,0.5,42,2100,1.1765256,1.4855679,1,1.69714438,0.849378076,0.391718317,0.453667757
22,alpha_1.5_temp_0.5,1.5,0.5,42,2200,1.1639374,1.4819068,1,1.710399426,0.848947721,0.397897709,0.456042396
23,alpha_1.5_temp_0.5,1.5,0.5,42,2300,1.1513373,1.4862927,1,1.701960271,0.849118826,0.391223891,0.449697371
24,alpha_1.5_temp_0.5,1.5,0.5,42,2400,1.1407832,1.4890777,1,1.701836867,0.849185748,0.39548297,0.454617942
25,alpha_1.5_temp_0.5,1.5,0.5,42,2500,1.1299704,1.4890512,1,1.702886961,0.847781355,0.391031073,0.445951663
26,alpha_1.5_temp_0.5,1.5,0.5,42,2600,1.1215686,1.4886125,1,1.71292268,0.847128186,0.391967341,0.443084652
27,alpha_1.5_temp_0.5,1.5,0.5,42,2700,1.108302,1.4918144,1,1.712789277,0.8477817,0.394085726,0.454303627
28,alpha_1.5_temp_0.5,1.5,0.5,42,2800,1.0981401,1.4862221,1,1.690588775,0.847742322,0.389511166,0.448343504
29,alpha_1.5_temp_0.5,1.5,0.5,42,2900,1.0897248,1.5007962,1,1.726379208,0.846436532,0.395210742,0.44368404
30,alpha_1.5_temp_0.5,1.5,0.5,42,3000,1.0763887,1.4930096,1,1.712765915,0.846286612,0.395731127,0.444076896
31,alpha_1.5_temp_0.5,1.5,0.5,42,3100,1.0667341,1.5037899,1,1.707596378,0.846733355,0.395667929,0.44697266
32,alpha_1.5_temp_0.5,1.5,0.5,42,3200,1.0587512,1.5024638,1,1.715915637,0.846192008,0.398500505,0.445225294
33,alpha_1.5_temp_0.5,1.5,0.5,42,3300,1.0485164,1.5088055,1,1.71464105,0.846122548,0.39412825,0.440638902
34,alpha_1.5_temp_0.5,1.5,0.5,42,3400,1.0399987,1.5164346,1,1.722121741,0.846158799,0.393580495,0.442133234
35,alpha_1.5_temp_0.5,1.5,0.5,42,3500,1.027606,1.518512,1,1.722492413,0.84524339,0.397476891,0.441714146
36,alpha_1.5_temp_0.5,1.5,0.5,42,3600,1.0190284,1.5191889,1,1.728634318,0.845854308,0.394433231,0.438763408
37,alpha_1.5_temp_0.5,1.5,0.5,42,3700,1.0076542,1.5215578,1,1.710214499,0.845747666,0.394313358,0.442240509
38,alpha_1.5_temp_0.5,1.5,0.5,42,3800,1.0010093,1.5395876,1,1.71357619,0.846270764,0.396426665,0.435653022
39,alpha_1.5_temp_0.5,1.5,0.5,42,3900,0.98839635,1.5426329,1,1.710586,0.844713734,0.396112159,0.439357082
40,alpha_1.5_temp_0.5,1.5,0.5,42,4000,0.97969913,1.5431361,1,1.736788268,0.844008788,0.396629055,0.437360879
41,alpha_1.5_temp_0.5,1.5,0.5,42,4100,0.969468,1.5439147,1,1.72246093,0.843945722,0.39564813,0.439041503
