,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
153,alpha_2.0_temp_0.5,2,0.5,42,0,4.25734,4.2578273,1,1.411891163,0.753980324,0.22996168,0.300414902
154,alpha_2.0_temp_0.5,2,0.5,42,100,2.4466279,2.4615693,1,1.919873098,0.952751705,0.516408927,0.558584654
155,alpha_2.0_temp_0.5,2,0.5,42,200,2.232591,2.2703712,1,2.056026988,0.954216617,0.55075786,0.597263599
156,alpha_2.0_temp_0.5,2,0.5,42,300,1.9870514,2.072639,0.999833333,2.069063272,0.960346625,0.56016143,0.585925259
157,alpha_2.0_temp_0.5,2,0.5,42,400,1.7935597,1.9207417,0.999333333,2.0387864,0.962580771,0.55306774,0.577268754
158,alpha_2.0_temp_0.5,2,0.5,42,500,1.655073,1.8262732,0.99925,2.071404587,0.961990735,0.569873025,0.585470344
159,alpha_2.0_temp_0.5,2,0.5,42,600,1.5661812,1.7467818,0.9995,2.052850578,0.959662324,0.567612288,0.579039278
160,alpha_2.0_temp_0.5,2,0.5,42,700,1.5011084,1.6888722,1,2.06957779,0.956981589,0.571902422,0.580047922
161,alpha_2.0_temp_0.5,2,0.5,42,800,1.4492574,1.6423631,1,2.07611132,0.954189646,0.575371649,0.58112917
162,alpha_2.0_temp_0.5,2,0.5,42,900,1.4117051,1.6121168,1,2.089832983,0.950240806,0.581023609,0.585528467
163,alpha_2.0_temp_0.5,2,0.5,42,1000,1.3832917,1.5925053,1,2.088497346,0.946256954,0.585345356,0.59189656
164,alpha_2.0_temp_0.5,2,0.5,42,1100,1.3538104,1.571536,1,2.079120367,0.943406518,0.583463951,0.58318322
165,alpha_2.0_temp_0.5,2,0.5,42,1200,1.3294072,1.5499264,1,2.075181807,0.939041657,0.586241086,0.589314235
166,alpha_2.0_temp_0.5,2,0.5,42,1300,1.3100356,1.5409117,1,2.07130039,0.93359881,0.586642321,0.586990438
167,alpha_2.0_temp_0.5,2,0.5,42,1400,1.2951648,1.5297037,1,2.0610123,0.931859691,0.589698,0.59130205
168,alpha_2.0_temp_0.5,2,0.5,42,1500,1.2771871,1.5172026,1,2.078575506,0.927258134,0.59203808,0.593338306
169,alpha_2.0_temp_0.5,2,0.5,42,1600,1.26122,1.5099739,1,2.063213412,0.925127241,0.593726318,0.594971434
170,alpha_2.0_temp_0.5,2,0.5,42,1700,1.2485822,1.5108548,1,2.084150077,0.921307234,0.595320062,0.60018908
171,alpha_2.0_temp_0.5,2,0.5,42,1800,1.2334509,1.5037891,1,2.07556117,0.919844753,0.5940722,0.600646816
172,alpha_2.0_temp_0.5,2,0.5,42,1900,1.223056,1.4992536,1,2.067468753,0.918123393,0.594704693,0.597214554
173,alpha_2.0_temp_0.5,2,0.5,42,2000,1.20971,1.4957427,1,2.085361786,0.918939901,0.594028313,0.59765872
174,alpha_2.0_temp_0.5,2,0.5,42,2100,1.199376,1.493475,1,2.079913508,0.917097334,0.594086474,0.604323732
175,alpha_2.0_temp_0.5,2,0.5,42,2200,1.1893481,1.4855207,1,2.086177324,0.916175067,0.59762579,0.60807956
176,alpha_2.0_temp_0.5,2,0.5,42,2300,1.1762656,1.4868052,1,2.088400272,0.916514111,0.601242079,0.607248984
177,alpha_2.0_temp_0.5,2,0.5,42,2400,1.1654781,1.4890752,1,2.075833909,0.91310055,0.596542546,0.599670393
178,alpha_2.0_temp_0.5,2,0.5,42,2500,1.156677,1.4924489,1,2.072423186,0.910721791,0.596684397,0.601146191
179,alpha_2.0_temp_0.5,2,0.5,42,2600,1.1489072,1.4923736,1,2.067109498,0.911526223,0.598204272,0.606040621
180,alpha_2.0_temp_0.5,2,0.5,42,2700,1.1367588,1.4900016,1,2.09237238,0.909153547,0.600083466,0.602288217
181,alpha_2.0_temp_0.5,2,0.5,42,2800,1.1275463,1.4905558,1,2.092581135,0.908407936,0.602587356,0.599711767
182,alpha_2.0_temp_0.5,2,0.5,42,2900,1.1183373,1.4955608,1,2.091750547,0.906920478,0.602563387,0.606065242
183,alpha_2.0_temp_0.5,2,0.5,42,3000,1.1087607,1.492491,1,2.085530195,0.906010794,0.602315034,0.606650942
184,alpha_2.0_temp_0.5,2,0.5,42,3100,1.1005776,1.4920676,1,2.091833067,0.903403444,0.604678474,0.610516454
185,alpha_2.0_temp_0.5,2,0.5,42,3200,1.0900364,1.4917319,1,2.094459873,0.902962591,0.601949898,0.612988425
186,alpha_2.0_temp_0.5,2,0.5,42,3300,1.0821086,1.5043764,1,2.098051597,0.902256704,0.601944917,0.611603963
187,alpha_2.0_temp_0.5,2,0.5,42,3400,1.0731404,1.4994643,1,2.107116519,0.901610548,0.607629339,0.612900567
188,alpha_2.0_temp_0.5,2,0.5,42,3500,1.0662998,1.5070461,1,2.099427799,0.900371172,0.602711851,0.604976039
189,alpha_2.0_temp_0.5,2,0.5,42,3600,1.0546294,1.5061425,1,2.096404659,0.900343884,0.603449412,0.613327127
190,alpha_2.0_temp_0.5,2,0.5,42,3700,1.0471189,1.5120822,1,2.107364897,0.900192869,0.606707644,0.616123481
191,alpha_2.0_temp_0.5,2,0.5,42,3800,1.0382502,1.5224328,1,2.108605852,0.899583414,0.606176206,0.620959298
192,alpha_2.0_temp_0.5,2,0.5,42,3900,1.0282507,1.5211223,1,2.1265092,0.898049819,0.607405947,0.620484972
193,alpha_2.0_temp_0.5,2,0.5,42,4000,1.0212939,1.5247624,1,2.121095794,0.8961859,0.605587203,0.619284429
194,alpha_2.0_temp_0.5,2,0.5,42,4100,1.0111234,1.5255675,1,2.122314131,0.895646623,0.607384355,0.61500564
