Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
306,alpha_2.5_temp_0.5,2.5,0.5,42,0,4.2578015,4.258277,1,1.46986528,0.823717873,0.260296841,0.309583401
307,alpha_2.5_temp_0.5,2.5,0.5,42,100,2.45137,2.4649835,0.979541667,1.936902654,0.975446833,0.568426698,0.584934112
308,alpha_2.5_temp_0.5,2.5,0.5,42,200,2.246328,2.2819927,0.987583333,1.912696953,0.977631515,0.565120161,0.585597649
309,alpha_2.5_temp_0.5,2.5,0.5,42,300,2.0117111,2.089114,0.994166667,1.927473271,0.98044447,0.570060923,0.581507934
310,alpha_2.5_temp_0.5,2.5,0.5,42,400,1.8094599,1.9348613,1,1.934989538,0.984778767,0.56648828,0.579138396
311,alpha_2.5_temp_0.5,2.5,0.5,42,500,1.6690916,1.8316416,1,1.956271848,0.986858016,0.569278315,0.581243854
312,alpha_2.5_temp_0.5,2.5,0.5,42,600,1.5799565,1.7613134,0.999833333,1.947119008,0.987970578,0.573610881,0.58458299
313,alpha_2.5_temp_0.5,2.5,0.5,42,700,1.5130608,1.7067252,0.999875,1.952192199,0.987751455,0.570026049,0.581843207
314,alpha_2.5_temp_0.5,2.5,0.5,42,800,1.4625624,1.6624482,1,1.951868869,0.98695009,0.569153753,0.581940495
315,alpha_2.5_temp_0.5,2.5,0.5,42,900,1.4255422,1.6307414,1,1.959990027,0.98471411,0.568765305,0.580058271
316,alpha_2.5_temp_0.5,2.5,0.5,42,1000,1.3933563,1.6007676,1,1.963746682,0.983643545,0.568042775,0.580091163
317,alpha_2.5_temp_0.5,2.5,0.5,42,1100,1.3650801,1.5823907,1,1.960464674,0.985548252,0.573927093,0.584728893
318,alpha_2.5_temp_0.5,2.5,0.5,42,1200,1.3409512,1.5615346,1,1.957572552,0.982895551,0.568564664,0.580202246
319,alpha_2.5_temp_0.5,2.5,0.5,42,1300,1.3193531,1.5502826,1,1.953950504,0.980715273,0.566787342,0.577385029
320,alpha_2.5_temp_0.5,2.5,0.5,42,1400,1.3058819,1.5395049,1,1.95608758,0.98229735,0.572429643,0.583436906
321,alpha_2.5_temp_0.5,2.5,0.5,42,1500,1.28914,1.5273291,1,1.956888566,0.980621312,0.568661116,0.58089346
322,alpha_2.5_temp_0.5,2.5,0.5,42,1600,1.2737361,1.5168837,1,1.962359427,0.980093109,0.569340146,0.581725344
